ID;Art. Nr.;Serie;Artikel;Unsere Preis;Original Preis;Kurzbeschreibung;Beschreibung;Jahrgang;Herkunft;Region;Traubensorte;Farbe;Trinktemperatur;Past gut zu;Alkohol;Raritäten;Inhalt;Charakter
;F3030;9;COMTESSE DE BEAUVALLON SÉLECTION SPÉCIALE;18,5;22,5;COMTESSE DE BEAUVALLON SÉLECTION SPÉCIALE;;2006;Frankreich;Bordeaux;Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot;Rotwein;;Braten, Geflügel, kräftigem Käse;12,5%;ja;0.75 cl;
;F3031;9;DUCHESSE DE MAUZAC SÉLECTION SÉCIALE ST. JULIEN;18,5;22,5;DUCHESSE DE MAUZAC SÉLECTION SÉCIALE ST. JULIEN;;2004;Frankreich;Bordeaux;Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot;Rotwein;;Grillfleisch, kräftigem Käse;12,5%;ja;0,75 cl;
;F3032;9;MARQUIS DE PLAISANCE PAUILLAC;18,5;22,5;MARQUIS DE PLAISANCE PAUILLAC;;2004;Frankreich;Bordeaux;Aligote, Cabernet Franc, Cabernet Sauvignon, Merlot, Petit;Rotwein;;Geflügel, Kalbfleisch, mildem Käse, Rindfleisch;12%;ja;0,75 cl;
;F3033;10;FLEUR DU VENT VDP DE L'HERAULT ROSÉ;5,5;;FLEUR DU VENT VDP DE L'HERAULT ROSÉ;;2011;Frankreich;Languedoc-Roussillon;Carignan, Grecanico;Rosé;;Aperitif, Vorspeise & Salat;12%;;0,75 cl;
;F3034;9;FLEUR DU VENT ROUGE VDP DE L'HERAULT;5,5;;FLEUR DU VENT ROUGE VDP DE L'HERAULT;;2011;Frankreich;Languedoc-Roussillon;Carignan, Cinsault;Rotwein;;Aperitif, Fischgerichte, mildem Käse;12,5%;;0.75 cl;
;F3035;8;FLEUR DU VENT VDP DE L'HERAULT BLANC;5,5;;FLEUR DU VENT VDP DE L'HERAULT BLANC;;2011;Frankreich;Languedoc-Roussillon;Carignan, Cinsault, Grenache, Sauvignon Blanc;Weisswein;;Aperitif, Fischgerichte, Weisses Fleisch;11,8%;;0.75 cl;
;F3036;9;DOMAINE MONCABREL ST. CHINIAN;5,5;;DOMAINE MONCABREL ST. CHINIAN;;2006;Frankreich;Saint Cinian;Carignan, Cinsault;Rotwein;;;13%;;0.75 cl;
;F3037;9;CHÂTEAU MOULIN GUILLOMAT AOC;5,5;;CHÂTEAU MOULIN GUILLOMAT AOC;;2009;Frankreich;Bordeaux;Cabernet Sauvignon, Merlot;Rotwein;;Braten, Fischgerichte, kräftigem Käse, Weisses Fleisch, Wildfleisch;12,5%;;0.75 cl;
;F3038;9;CHÂTEAU SALVANHIAC ST. CHINIAN AOC;5,5;;CHÂTEAU SALVANHIAC ST. CHINIAN AOC;;2010;Frankreich;;Cabernet, Carignan, Shiraz / Syrah;Rotwein;;Braten,Grillfleisch, kräftigem Käse, Rindfleisch, Rotes Fleisch, Wildfleisch;13%;;0.75 cl;
;F3039;10;PAYS DE L'HERAULT IGP LES CHARMES BELLEVUE MOELLEUX ROSÉ;5,5;;PAYS DE L'HERAULT IGP LES CHARMES BELLEVUE MOELLEUX ROSÉ;;2010;Frankreich;Languedoc-Roussillon;Carignan, Cinsault, Grenache Blanc, Sauvignon Blanc;Rosé;;Aperitif, Fischgerichte, Weisses Fleisch;11,5%;;0.75 cl;
